"Set","Song"
"Set 1","The Wedge"
"Set 1","Stealing Time From the Faulty Plan"
"Set 1","Mound"
"Set 1","Axilla"
"Set 1","Birds of a Feather"
"Set 1","Wolfman's Brother"
"Set 1","Sing Monica"
"Set 1","Seven Below"
"Set 1","Tube"
"Set 1","Free"
"Set 1","Julius"
"Set 2","Sand"
"Set 2","Piper"
"Set 2","Back on the Train"
"Set 2","Tweezer"
"Set 2","Backwards Down the Number Line"
"Set 2","Steam"
"Set 2","Silent in the Morning"
"Set 2","Waiting All Night"
"Set 2","Run Like an Antelope"
"Encore","Suzy Greenberg"
"Encore","Tweezer Reprise"
