Set,Song
Set 1,AC/DC Bag
Set 1,A Song I Heard the Ocean Sing
Set 1,Wilson
Set 1,Divided Sky
Set 1,Ocelot
Set 1,Sugar Shack
Set 1,Halfway to the Moon
Set 1,Fluffhead
Set 2,Glide
Set 2,Llama
Set 2,Colonel Forbin's Ascent
Set 2,Fly Famous Mockingbird
Set 2,Fuck Your Face
Set 2,Reba
Set 2,Icculus
Set 2,The Lizards
Set 2,Split Open and Melt
Set 3,Character Zero
Set 3,Auld Lang Syne
Set 3,Fuego
Set 3,Light
Set 3,Twenty Years Later
Set 3,Bouncing Around the Room
Set 3,You Enjoy Myself
Encore,Grind
Encore,Show of Life
