"Set","Song"
"Set 1","AC/DC Bag"
"Set 1","The Moma Dance"
"Set 1","Axilla"
"Set 1","Meatstick"
"Set 1","Kill Devil Falls"
"Set 1","Scent of a Mule"
"Set 1","Timber (Jerry The Mule)"
"Set 1","My Friend, My Friend"
"Set 1","Halfway to the Moon"
"Set 1","Maze"
"Set 1","Character Zero"
"Set 2","Crosseyed and Painless"
"Set 2","Light"
"Set 2","Golden Age"
"Set 2","Birds of a Feather"
"Set 2","Halley's Comet"
"Set 2","Possum"
"Set 2","Bug"
"Set 2","Heavy Things"
"Set 2","You Enjoy Myself"
"Encore","Joy"
"Encore","First Tube"
