"Set","Song"
"Set 1","Wolfman's Brother"
"Set 1","Runaway Jim"
"Set 1","Mound"
"Set 1","Chalk Dust Torture"
"Set 1","Army of One"
"Set 1","Nellie Kane"
"Set 1","Stash"
"Set 1","Ocelot"
"Set 1","Rift"
"Set 1","Bouncing Around the Room"
"Set 1","Walls of the Cave"
"Set 2","Twist"
"Set 2","Free"
"Set 2","Roggae"
"Set 2","Sparkle"
"Set 2","Cavern"
"Set 2","Carini"
"Set 2","Backwards Down the Number Line"
"Set 2","Twenty Years Later"
"Set 2","Wading in the Velvet Sea"
"Set 2","Run Like an Antelope"
"Encore","When the Circus Comes"
"Encore","Suzy Greenberg"
