"Set","Song"
"Set 1","Heavy Things"
"Set 1","The Moma Dance"
"Set 1","Poor Heart"
"Set 1","Back on the Train"
"Set 1","Silent in the Morning"
"Set 1","Kill Devil Falls"
"Set 1","Mound"
"Set 1","Free"
"Set 1","Camel Walk"
"Set 1","Stash"
"Set 1","Golgi Apparatus"
"Set 1","Bathtub Gin"
"Set 2","Wingsuit"
"Set 2","Fuego"
"Set 2","The Line"
"Set 2","Sing Monica"
"Set 2","Waiting All Night"
"Set 2","Wombat"
"Set 2","Snow"
"Set 2","Devotion To a Dream"
"Set 2","555"
"Set 2","Winterqueen"
"Set 2","Amidst the Peals of Laughter"
"Set 2","You Never Know"
"Set 3","Ghost"
"Set 3","Carini"
"Set 3","Birds of a Feather"
"Set 3","Harry Hood"
"Set 3","Bug"
"Set 3","Run Like an Antelope"
"Encore","Quinn the Eskimo"
