"Set","Song"
"Set 1","AC/DC Bag"
"Set 1","Timber (Jerry The Mule)"
"Set 1","Wolfman's Brother"
"Set 1","Funky Bitch"
"Set 1","Happy Birthday to You"
"Set 1","Wilson"
"Set 1","Possum"
"Set 1","Tube"
"Set 1","Secret Smile"
"Set 1","McGrupp and the Watchful Hosemasters"
"Set 1","The Ballad of Curtis Loew"
"Set 1","Split Open and Melt"
"Set 2","Crosseyed and Painless"
"Set 2","Twist"
"Set 2","Steam"
"Set 2","Waves"
"Set 2","Twenty Years Later"
"Set 2","The Mango Song"
"Set 2","Bug"
"Set 2","David Bowie"
"Set 2","Rocky Top"
"Set 2","Character Zero"
"Encore","Harry Hood"
"Encore","Fire"
