Set,Song
Set 1,Prince Caspian
Set 1,Twist
Set 1,Ha Ha Ha
Set 1,Possum
Set 1,Cities
Set 1,Lawn Boy
Set 1,I Didn't Know
Set 1,Rift
Set 1,Destiny Unbound
Set 1,My Friend, My Friend
Set 1,Kill Devil Falls
Set 1,Cavern
Set 1,David Bowie
Set 2,Back on the Train
Set 2,Mike's Song
Set 2,Theme From the Bottom
Set 2,Weekapaug Groove
Set 2,Golden Age
Set 2,Waves
Set 2,Piper
Set 2,Slave to the Traffic Light
Set 3,Meatstick
Set 3,Birds of a Feather
Set 3,Strange Design
Set 3,Ocelot
Set 3,Light
Set 3,Harry Hood
Set 3,Good Times Bad Times
Encore,Shine a Light
