"Set","Song"
"Set 1","AC/DC Bag"
"Set 1","Foam"
"Set 1","Theme From the Bottom"
"Set 1","Gumbo"
"Set 1","Scent of a Mule"
"Set 1","Down with Disease"
"Set 1","McGrupp and the Watchful Hosemasters"
"Set 1","Hello My Baby"
"Set 2","Also Sprach Zarathustra"
"Set 2","Runaway Jim"
"Set 2","Loving Cup"
"Set 2","Sparkle"
"Set 2","Mike's Song"
"Set 2","I Am Hydrogen"
"Set 2","Weekapaug Groove"
"Set 2","Hold Your Head Up"
"Set 2","Bike"
"Set 2","Hold Your Head Up"
"Set 2","Slave to the Traffic Light"
"Encore","Rocky Top"
