"Set","Song"
"Set 1","Sanity"
"Set 1","Highway to Hell"
"Set 1","Down with Disease"
"Set 1","You Enjoy Myself"
"Set 1","Prince Caspian"
"Set 1","Reba"
"Set 1","Colonel Forbin's Ascent"
"Set 1","Fly Famous Mockingbird"
"Set 1","Character Zero"
"Set 1","The Star Spangled Banner"
"Set 2","Born Under Punches (The Heat Goes On)"
"Set 2","Crosseyed and Painless"
"Set 2","The Great Curve"
"Set 2","Once in a Lifetime"
"Set 2","Houses in Motion"
"Set 2","Seen and Not Seen"
"Set 2","Listening Wind"
"Set 2","The Overload"
"Set 3","Brother"
"Set 3","Also Sprach Zarathustra"
"Set 3","Maze"
"Set 3","Simple"
"Set 3","Swept Away"
"Set 3","Steep"
"Set 3","Jesus Just Left Chicago"
"Set 3","Suzy Greenberg"
"Encore","Frankenstein"
