"Set","Song"
"Set 1","Poor Heart"
"Set 1","AC/DC Bag"
"Set 1","All Things Reconsidered"
"Set 1","Bouncing Around the Room"
"Set 1","Reba"
"Set 1","Character Zero"
"Set 1","Strange Design"
"Set 1","Taste"
"Set 1","I Didn't Know"
"Set 1","Sample in a Jar"
"Set 1","Run Like an Antelope"
"Set 2","Also Sprach Zarathustra"
"Set 2","Sparkle"
"Set 2","David Bowie"
"Set 2","A Day in the Life"
"Set 2","You Enjoy Myself"
"Set 2","Loving Cup"
"Set 2","Suzy Greenberg"
"Encore","Ginseng Sullivan"
"Encore","Cavern"
