Set,Song
Set 1,Wilson
Set 1,Peaches en Regalia
Set 1,Poor Heart
Set 1,Also Sprach Zarathustra
Set 1,Llama
Set 1,You Enjoy Myself
Set 1,Cars Trucks Buses
Set 1,Down with Disease
Set 1,Frankenstein
Set 2,Julius
Set 2,Sparkle
Set 2,Mike's Song
Set 2,Simple
Set 2,Harry Hood
Set 2,Weekapaug Groove
Set 2,Sweet Adeline
Set 2,Good Times Bad Times
Encore,Harpua
Encore,Wildwood Weed
Encore,Harpua
Encore,I Want To Be a Cowboy's Sweetheart
Encore,Harpua
Encore,Suspicious Minds
Encore,Harpua
Encore,Suzy Greenberg
