"Set","Song"
"Set 1","My Friend, My Friend"
"Set 1","Chalk Dust Torture"
"Set 1","Horn"
"Set 1","Uncle Pen"
"Set 1","Timber (Jerry The Mule)"
"Set 1","Sample in a Jar"
"Set 1","Train Song"
"Set 1","Guyute"
"Set 1","Character Zero"
"Set 1","The Lizards"
"Set 1","David Bowie"
"Set 2","Ha Ha Ha"
"Set 2","Mike's Song"
"Set 2","Prince Caspian"
"Set 2","Sparkle"
"Set 2","Punch You in the Eye"
"Set 2","Life on Mars?"
"Set 2","Reba"
"Set 2","Lawn Boy"
"Set 2","Weekapaug Groove"
"Encore","Jesus Just Left Chicago"
