"Set","Song"
"Set 1","Punch You in the Eye"
"Set 1","Sparkle"
"Set 1","Stash"
"Set 1","Ya Mar"
"Set 1","Gumbo"
"Set 1","Taste"
"Set 1","Lawn Boy"
"Set 1","Ninety-Nine Years (and One Dark Day)"
"Set 1","Hold to a Dream"
"Set 1","Doin' My Time"
"Set 2","Runaway Jim"
"Set 2","Gypsy Queen"
"Set 2","Runaway Jim"
"Set 2","Free"
"Set 2","Colonel Forbin's Ascent"
"Set 2","Fly Famous Mockingbird"
"Set 2","Possum"
"Set 2","Life on Mars?"
"Set 2","You Enjoy Myself"
"Set 2","Hello My Baby"
"Encore","Bouncing Around the Room"
"Encore","Golgi Apparatus"
