"Set","Song"
"Set 1","The Squirming Coil"
"Set 1","Uncle Pen"
"Set 1","Mike's Song"
"Set 1","I Am Hydrogen"
"Set 1","Weekapaug Groove"
"Set 1","Ya Mar"
"Set 1","The Oh Kee Pa Ceremony"
"Set 1","Suzy Greenberg"
"Set 1","Take the 'A' Train"
"Set 1","David Bowie"
"Set 1","Lawn Boy"
"Set 1","Possum"
"Set 2","Sweet Adeline"
"Set 2","Divided Sky"
"Set 2","Caravan"
"Set 2","Dinner and a Movie"
"Set 2","Bouncing Around the Room"
"Set 2","My Sweet One"
"Set 2","The Lizards"
"Set 2","You Enjoy Myself"
"Set 2","The Ballad of Curtis Loew"
"Set 2","Good Times Bad Times"
"Encore","Hold Your Head Up"
"Encore","Whipping Post"
"Encore","Hold Your Head Up"
"Encore","Golgi Apparatus"
