"Set","Song"
"Set 1","The Landlady"
"Set 1","Mike's Song"
"Set 1","I Am Hydrogen"
"Set 1","Weekapaug Groove"
"Set 1","Esther"
"Set 1","Dinner and a Movie"
"Set 1","Bouncing Around the Room"
"Set 1","Tweezer"
"Set 1","My Sweet One"
"Set 1","Llama"
"Set 1","Possum"
"Set 2","The Asse Festival"
"Set 2","The Squirming Coil"
"Set 2","Runaway Jim"
"Set 2","Stash"
"Set 2","The Lizards"
"Set 2","Gumbo"
"Set 2","Divided Sky"
"Set 2","I Didn't Know"
"Set 2","The Sloth"
"Set 2","Run Like an Antelope"
"Encore","Caravan"
"Encore","The Oh Kee Pa Ceremony"
"Encore","Suzy Greenberg"
