Set,Song
Set 1,The Landlady
Set 1,AC/DC Bag
Set 1,Bouncing Around the Room
Set 1,The Asse Festival
Set 1,The Squirming Coil
Set 1,My Sweet One
Set 1,Divided Sky
Set 1,Magilla
Set 1,The Oh Kee Pa Ceremony
Set 1,Suzy Greenberg
Set 1,Possum
Set 2,Funky Bitch
Set 2,Stash
Set 2,Uncle Pen
Set 2,Tube
Set 2,Lawn Boy
Set 2,Tweezer
Set 2,Buried Alive
Set 2,Tweezer
Set 2,McGrupp and the Watchful Hosemasters
Set 2,Hold Your Head Up
Set 2,Love You
Set 2,Hold Your Head Up
Set 2,Run Like an Antelope
Encore,The Lizards
