Set,Song
Set 1,Contact
Set 1,The Oh Kee Pa Ceremony
Set 1,Suzy Greenberg
Set 1,The Man Who Stepped Into Yesterday
Set 1,Avenu Malkenu
Set 1,Reba
Set 1,La Grange
Set 1,Mike's Song
Set 1,I Am Hydrogen
Set 1,Weekapaug Groove
Set 1,The Squirming Coil
Set 1,The Lizards
Set 1,Possum
Set 2,Carolina
Set 2,Roll Like a Cantaloupe
Set 2,My Sweet One
Set 2,Bouncing Around the Room
Set 2,Dinner and a Movie
Set 2,Take the 'A' Train
Set 2,The Sloth
Set 2,Ya Mar
Set 2,Split Open and Melt
Set 2,Harpua
Set 2,Slave to the Traffic Light
Set 2,AC/DC Bag
Set 2,David Bowie
Encore,Tela
