Set,Song
Set 1,AC/DC Bag
Set 1,Divided Sky
Set 1,Wilson
Set 1,Reba
Set 1,Horn
Set 1,Uncle Pen
Set 1,Bouncing Around the Room
Set 1,Timber (Jerry The Mule)
Set 1,Lawn Boy
Set 1,Possum
Set 2,Golgi Apparatus
Set 2,Esther
Set 2,Tweezer
Set 2,My Sweet One
Set 2,Bathtub Gin
Set 2,You Enjoy Myself
Set 2,The Lizards
Set 2,Run Like an Antelope
Set 3,La Grange
Set 3,Ya Mar
Set 3,Foam
Set 3,The Oh Kee Pa Ceremony
Set 3,Suzy Greenberg
Set 3,Fee
Set 3,Rocky Top
Set 3,Caravan
Set 3,Hold Your Head Up
Set 3,If I Only Had a Brain
Set 3,Hold Your Head Up
Set 3,Mike's Song
Set 3,I Am Hydrogen
Set 3,Weekapaug Groove
Encore,Contact
Encore,Big Black Furry Creature from Mars
Encore 2,Good Times Bad Times
