"Set","Song"
"Set 1","The Landlady"
"Set 1","Divided Sky"
"Set 1","Foam"
"Set 1","Tube"
"Set 1","The Asse Festival"
"Set 1","Run Like an Antelope"
"Set 1","Minute by Minute"
"Set 1","Buried Alive"
"Set 1","Paul and Silas"
"Set 1","Bouncing Around the Room"
"Set 1","Possum"
"Set 2","Mike's Song"
"Set 2","I Am Hydrogen"
"Set 2","Weekapaug Groove"
"Set 2","Magilla"
"Set 2","Stash"
"Set 2","Goin' Down Slow"
"Set 2","The Oh Kee Pa Ceremony"
"Set 2","AC/DC Bag"
"Set 2","Buried Alive"
"Set 2","Take the 'A' Train"
"Set 2","Sparks"
"Set 2","Reba"
"Set 2","Self"
"Set 2","Dahlia"
"Set 2","Revolution's Over"
"Encore","The Lizards"
"Encore 2","La Grange"
