"Set","Song"
"Set 1","The Landlady"
"Set 1","Runaway Jim"
"Set 1","The Sloth"
"Set 1","Reba"
"Set 1","Buried Alive"
"Set 1","You Enjoy Myself"
"Set 1","Paul and Silas"
"Set 1","David Bowie"
"Set 1","Mo' Better Blues"
"Set 1","David Bowie"
"Set 2","Divided Sky"
"Set 2","Makisupa Policeman"
"Set 2","Llama"
"Set 2","Uncle Pen"
"Set 2","Colonel Forbin's Ascent"
"Set 2","Fly Famous Mockingbird"
"Set 2","Wilson"
"Set 2","Mike's Song"
"Set 2","I Am Hydrogen"
"Set 2","Weekapaug Groove"
"Set 2","Hold Your Head Up"
"Set 2","Whipping Post"
"Set 2","Hold Your Head Up"
"Set 2","Fire"
"Encore","Contact"
"Encore","Highway to Hell"
