Set,Song
Set 1,Golgi Apparatus
Set 1,The Oh Kee Pa Ceremony
Set 1,Suzy Greenberg
Set 1,You Enjoy Myself
Set 1,Walk Away
Set 1,Bouncing Around the Room
Set 1,AC/DC Bag
Set 1,The Squirming Coil
Set 1,Mike's Song
Set 1,I Am Hydrogen
Set 1,Weekapaug Groove
Set 1,Carolina
Set 2,Dinner and a Movie
Set 2,Ya Mar
Set 2,Reba
Set 2,Wilson
Set 2,Take the 'A' Train
Set 2,Alumni Blues
Set 2,Letter to Jimmy Page
Set 2,Alumni Blues
Set 2,Foam
Set 2,The Ballad of Curtis Loew
Set 2,David Bowie
Encore,I Didn't Know
