"Set","Song"
"Set 1","Buried Alive"
"Set 1","Divided Sky"
"Set 1","Paul and Silas"
"Set 1","The Landlady"
"Set 1","Fee"
"Set 1","Tube"
"Set 1","The Oh Kee Pa Ceremony"
"Set 1","AC/DC Bag"
"Set 1","The Asse Festival"
"Set 1","David Bowie"
"Set 1","Golgi Apparatus"
"Set 1","Stash"
"Set 1","Magilla"
"Set 1","The Squirming Coil"
"Set 2","Split Open and Melt"
"Set 2","Eliza"
"Set 2","My Sweet One"
"Set 2","Bathtub Gin"
"Set 2","Foam"
"Set 2","Minute by Minute"
"Set 2","Harry Hood"
"Set 2","Possum"
"Encore","Communication Breakdown"
