Set,Song
Set 1,David Bowie
Set 1,My Sweet One
Set 1,The Oh Kee Pa Ceremony
Set 1,AC/DC Bag
Set 1,The Squirming Coil
Set 1,The Lizards
Set 1,Walk Away
Set 1,Bathtub Gin
Set 1,Possum
Set 1,Tweezer
Set 1,Mike's Song
Set 1,I Am Hydrogen
Set 1,Weekapaug Groove
Set 2,Golgi Apparatus
Set 2,Colonel Forbin's Ascent
Set 2,Fly Famous Mockingbird
Set 2,Funky Bitch
Set 2,Take the 'A' Train
Set 2,Bold As Love
Set 2,Fee
Set 2,Runaway Jim
Set 2,Foam
Set 2,You Enjoy Myself
Set 2,Bike
Set 2,Harpua
Encore,Big Black Furry Creature from Mars
Encore,Contact
