"Set","Song"
"Set 1","Dinner and a Movie"
"Set 1","The Oh Kee Pa Ceremony"
"Set 1","Suzy Greenberg"
"Set 1","You Enjoy Myself"
"Set 1","Bathtub Gin"
"Set 1","Bouncing Around the Room"
"Set 1","Possum"
"Set 1","Carolina"
"Set 1","Contact"
"Set 1","David Bowie"
"Set 2","La Grange"
"Set 2","Esther"
"Set 2","AC/DC Bag"
"Set 2","Rocky Top"
"Set 2","Happy Birthday to You"
"Set 2","Donna Lee"
"Set 2","Fee"
"Set 2","Mike's Song"
"Set 2","I Am Hydrogen"
"Set 2","Weekapaug Groove"
"Encore","I Didn't Know"
"Encore","Highway to Hell"
