Set,Song
Set 1,Buried Alive
Set 1,Possum
Set 1,The Squirming Coil
Set 1,The Lizards
Set 1,Stash
Set 1,Bouncing Around the Room
Set 1,You Enjoy Myself
Set 1,The Asse Festival
Set 1,My Sweet One
Set 1,Cavern
Set 1,Run Like an Antelope
Set 2,The Landlady
Set 2,Reba
Set 2,Runaway Jim
Set 2,Foam
Set 2,Tweezer
Set 2,Fee
Set 2,The Oh Kee Pa Ceremony
Set 2,Suzy Greenberg
Set 2,Hold Your Head Up
Set 2,Love You
Set 2,Hold Your Head Up
Set 2,Mike's Song
Set 2,I Am Hydrogen
Set 2,Weekapaug Groove
Encore,Uncle Pen
Encore,Big Black Furry Creature from Mars
