Set,Song
Set 1,Buried Alive
Set 1,Possum
Set 1,Foam
Set 1,Mike's Song
Set 1,I Am Hydrogen
Set 1,Weekapaug Groove
Set 1,The Squirming Coil
Set 1,The Lizards
Set 1,The Oh Kee Pa Ceremony
Set 1,Suzy Greenberg
Set 1,David Bowie
Set 2,Llama
Set 2,Bouncing Around the Room
Set 2,Stash
Set 2,Eliza
Set 2,The Landlady
Set 2,Runaway Jim
Set 2,You Enjoy Myself
Set 2,Hold Your Head Up
Set 2,Love You
Set 2,Hold Your Head Up
Set 2,Good Times Bad Times
Set 2,Big Black Furry Creature from Mars
Encore,Lawn Boy
Encore,Divided Sky
