"Set","Song"
"Set 1","Suzy Greenberg"
"Set 1","Split Open and Melt"
"Set 1","Tela"
"Set 1","Fluffhead"
"Set 1","La Grange"
"Set 1","Carolina"
"Set 1","Colonel Forbin's Ascent"
"Set 1","Fly Famous Mockingbird"
"Set 1","Communication Breakdown"
"Set 2","Wilson"
"Set 2","Run Like an Antelope"
"Set 2","Bouncing Around the Room"
"Set 2","Caravan"
"Set 2","The Squirming Coil"
"Set 2","You Enjoy Myself"
"Set 2","Bathtub Gin"
"Set 2","Mike's Song"
"Set 2","I Am Hydrogen"
"Set 2","Weekapaug Groove"
"Encore","Lawn Boy"
"Encore","Big Black Furry Creature from Mars"
