Set,Song
Set 1,Llama
Set 1,The Squirming Coil
Set 1,The Landlady
Set 1,Runaway Jim
Set 1,Bouncing Around the Room
Set 1,You Enjoy Myself
Set 1,Cavern
Set 1,Eliza
Set 1,The Oh Kee Pa Ceremony
Set 1,Suzy Greenberg
Set 1,David Bowie
Set 2,Buried Alive
Set 2,Fluffhead
Set 2,Mike's Song
Set 2,I Am Hydrogen
Set 2,Weekapaug Groove
Set 2,Esther
Set 2,Hold Your Head Up
Set 2,Love You
Set 2,Hold Your Head Up
Set 2,Possum
Set 2,Lawn Boy
Set 2,Rocky Top
Set 2,Donna Lee
Set 2,Good Times Bad Times
Encore,Memories
Encore,Sweet Adeline
