"Set","Song"
"Set 1","Possum"
"Set 1","Lawn Boy"
"Set 1","Reba"
"Set 1","Dinner and a Movie"
"Set 1","Bouncing Around the Room"
"Set 1","Tweezer"
"Set 1","Uncle Pen"
"Set 1","Mike's Song"
"Set 1","I Am Hydrogen"
"Set 1","Weekapaug Groove"
"Set 2","Whole Lotta Love Jam"
"Set 2","Harry Hood"
"Set 2","The Man Who Stepped Into Yesterday"
"Set 2","Avenu Malkenu"
"Set 2","La Grange"
"Set 2","Fee"
"Set 2","Foam"
"Set 2","The Oh Kee Pa Ceremony"
"Set 2","Suzy Greenberg"
"Set 2","Run Like an Antelope"
"Set 2","Hold Your Head Up"
"Set 2","Terrapin"
"Set 2","Hold Your Head Up"
"Set 2","Harpua"
"Set 2","Good Times Bad Times"
"Encore","Take the 'A' Train"
"Encore","Contact"
