Set,Song
Set 1,Golgi Apparatus
Set 1,Stash
Set 1,Bouncing Around the Room
Set 1,The Landlady
Set 1,You Enjoy Myself
Set 1,The Asse Festival
Set 1,Runaway Jim
Set 1,Foam
Set 1,Llama
Set 2,Mike's Song
Set 2,I Am Hydrogen
Set 2,Weekapaug Groove
Set 2,Donna Lee
Set 2,Cavern
Set 2,Tweezer
Set 2,The Squirming Coil
Set 2,The Oh Kee Pa Ceremony
Set 2,Suzy Greenberg
Set 2,Hold Your Head Up
Set 2,No Good Trying
Set 2,Hold Your Head Up
Set 2,David Bowie
Encore,Alumni Blues
Encore,Letter to Jimmy Page
Encore,Alumni Blues
