Set,Song
Set 1,Whipping Post
Set 1,Sweet Adeline
Set 1,The Man Who Stepped Into Yesterday
Set 1,Avenu Malkenu
Set 1,Bouncing Around the Room
Set 1,Possum
Set 1,Metal Bagel Death
Set 1,Reba
Set 1,My Sweet One
Set 1,You Enjoy Myself
Set 1,The Lizards
Set 2,Runaway Jim
Set 2,The Sloth
Set 2,Uncle Pen
Set 2,Tweezer
Set 2,Bathtub Gin
Set 2,The Oh Kee Pa Ceremony
Set 2,Mike's Song
Set 2,I Am Hydrogen
Set 2,Weekapaug Groove
Set 2,Caravan
Set 2,If I Only Had a Brain
Set 2,Highway to Hell
Encore,Run Like an Antelope
Encore,Contact
