"Set","Song"
"Set 1","Possum"
"Set 1","The Squirming Coil"
"Set 1","The Lizards"
"Set 1","The Landlady"
"Set 1","Magilla"
"Set 1","Dinner and a Movie"
"Set 1","Bouncing Around the Room"
"Set 1","Tweezer"
"Set 1","The Oh Kee Pa Ceremony"
"Set 1","Suzy Greenberg"
"Set 2","Mike's Song"
"Set 2","I Am Hydrogen"
"Set 2","Weekapaug Groove"
"Set 2","The Asse Festival"
"Set 2","Stash"
"Set 2","Runaway Jim"
"Set 2","Fee"
"Set 2","Gumbo"
"Set 2","Golgi Apparatus"
"Set 2","Love You"
"Set 2","Hold Your Head Up"
"Set 2","Run Like an Antelope"
"Encore","Contact"
"Encore","Highway to Hell"
