"Set","Song"
"Set 1","Buried Alive"
"Set 1","My Sweet One"
"Set 1","Divided Sky"
"Set 1","Tela"
"Set 1","The Oh Kee Pa Ceremony"
"Set 1","Suzy Greenberg"
"Set 1","Magilla"
"Set 1","Wilson"
"Set 1","The Landlady"
"Set 1","I Didn't Know"
"Set 1","David Bowie"
"Set 1","Mo' Better Blues"
"Set 1","David Bowie"
"Set 2","The Squirming Coil"
"Set 2","Tweezer"
"Set 2","Destiny Unbound"
"Set 2","Fee"
"Set 2","Uncle Pen"
"Set 2","Bouncing Around the Room"
"Set 2","Stash"
"Set 2","The Lizards"
"Set 2","Lawn Boy"
"Set 2","Possum"
"Encore","The Asse Festival"
"Encore","Golgi Apparatus"
