Set,Song
Set 1,Possum
Set 1,Peaches en Regalia
Set 1,The Moma Dance
Set 1,Torn and Frayed
Set 1,NICU
Set 1,Bathtub Gin
Set 1,Life on Mars?
Set 1,My Friend, My Friend
Set 1,Wolfman's Brother
Set 1,Roses Are Free
Set 1,Funky Bitch
Set 1,Quinn the Eskimo
Set 2,Jam
Set 2,Crosseyed and Painless
Set 2,Chalk Dust Torture
Set 2,Sand
Set 2,The Wedge
Set 2,Mike's Song
Set 2,Simple
Set 2,Bug
Set 2,The Horse
Set 2,Silent in the Morning
Set 2,Weekapaug Groove
Set 2,Joy
Set 2,Character Zero
Encore,Show of Life
