Set,Song
Set 1,Buried Alive
Set 1,Lonesome Cowboy Bill
Set 1,Ha Ha Ha
Set 1,Sample in a Jar
Set 1,Divided Sky
Set 1,Wolfman's Brother
Set 1,Boogie On Reggae Woman
Set 1,Gumbo
Set 1,Halley's Comet
Set 1,Bathtub Gin
Set 1,Jesus Just Left Chicago
Set 1,Character Zero
Set 2,Party Time
Set 2,Crosseyed and Painless
Set 2,Steam
Set 2,Light
Set 2,The Wedge
Set 2,Alaska
Set 2,Halfway to the Moon
Set 2,Harry Hood
Set 2,Backwards Down the Number Line
Set 2,Loving Cup
Encore,Sanity
Encore,Makisupa Policeman
Encore,First Tube
