"Set","Song"
"Set 1","Chalk Dust Torture"
"Set 1","The Moma Dance"
"Set 1","NICU"
"Set 1","Funky Bitch"
"Set 1","Sample in a Jar"
"Set 1","Cavern"
"Set 1","Bathtub Gin"
"Set 1","Alaska"
"Set 1","Possum"
"Set 1","Wolfman's Brother"
"Set 1","Julius"
"Set 2","Carini"
"Set 2","Down with Disease"
"Set 2","Slave to the Traffic Light"
"Set 2","Rock and Roll"
"Set 2","Twist"
"Set 2","Backwards Down the Number Line"
"Set 2","Theme From the Bottom"
"Set 2","Suzy Greenberg"
"Set 2","Character Zero"
"Encore","Loving Cup"
