Set,Song
Set 1,Tube
Set 1,Kill Devil Falls
Set 1,Ocelot
Set 1,Lawn Boy
Set 1,Divided Sky
Set 1,Boogie On Reggae Woman
Set 1,Camel Walk
Set 1,Cities
Set 1,Poor Heart
Set 1,46 Days
Set 1,Susskind Hotel
Set 1,When the Circus Comes
Set 1,Timber (Jerry The Mule)
Set 1,Back on the Train
Set 1,Suzy Greenberg
Set 1,Monkey Man
Set 2,Runaway Jim
Set 2,McGrupp and the Watchful Hosemasters
Set 2,Axilla
Set 2,Birds of a Feather
Set 2,Stash
Set 2,Sample in a Jar
Set 2,Heavy Things
Set 2,Horn
Set 2,It's Ice
Set 2,The Mango Song
Set 2,Rift
Set 2,Scents and Subtle Sounds
Set 2,Run Like an Antelope
Set 3,Golden Age
Set 3,Prince Caspian
Set 3,Piper
Set 3,Tweezer
Set 3,Julius
Set 3,Backwards Down the Number Line
Set 3,Twist
Set 3,Also Sprach Zarathustra
Set 3,Harry Hood
Set 3,Cavern
Set 3,Golgi Apparatus
Set 3,A Day in the Life
Encore,Loving Cup
Encore,Tweezer Reprise
Set 4,Storage Jam
Set 4,Sleeping Monkey
