Set,Song
Set 1,Colonel Forbin's Ascent
Set 1,Fly Famous Mockingbird
Set 1,Gumbo
Set 1,Possum
Set 1,Weigh
Set 1,Divided Sky
Set 1,Alaska
Set 1,Bathtub Gin
Set 1,Maze
Set 1,Cavern
Set 1,First Tube
Set 2,Crosseyed and Painless
Set 2,No Quarter
Set 2,Timber (Jerry The Mule)
Set 2,Tweezer
Set 2,Prince Caspian
Set 2,Piper
Set 2,Ghost
Set 2,Makisupa Policeman
Set 2,Sleep
Set 2,Buffalo Bill
Set 2,Golgi Apparatus
Set 2,Character Zero
Set 2,Run Like an Antelope
Encore,Funky Bitch
Encore,Show of Life
Encore,Tweezer Reprise
