Set,Song
Set 1,AC/DC Bag
Set 1,Wolfman's Brother
Set 1,Scent of a Mule
Set 1,Stealing Time From the Faulty Plan
Set 1,Lawn Boy
Set 1,Gotta Jibboo
Set 1,Farmhouse
Set 1,Pebbles and Marbles
Set 1,Ocelot
Set 1,Fluffhead
Set 2,Party Time
Set 2,Light
Set 2,Golden Age
Set 2,Theme From the Bottom
Set 2,Heavy Things
Set 2,Ghost
Set 2,Sneakin' Sally Through the Alley
Set 2,46 Days
Set 2,Suzy Greenberg
Set 3,Cavern
Set 3,Steam
Set 3,Auld Lang Syne
Set 3,Down with Disease
Set 3,The Wedge
Set 3,Alaska
Set 3,Wading in the Velvet Sea
Set 3,First Tube
Encore,Slave to the Traffic Light
