Set,Song
Set 1,Sample in a Jar
Set 1,Sparkle
Set 1,The Sloth
Set 1,Sweet Virginia
Set 1,Susskind Hotel
Set 1,Strange Design
Set 1,Stash
Set 1,Sneakin' Sally Through the Alley
Set 1,Sparks
Set 1,Scent of a Mule
Set 1,Stealing Time From the Faulty Plan
Set 1,Shine a Light
Set 1,Split Open and Melt
Set 1,The Squirming Coil
Set 2,Sand
Set 2,Simple
Set 2,Steam
Set 2,Soul Shakedown Party
Set 2,Seven Below
Set 2,Suzy Greenberg
Set 2,Scents and Subtle Sounds
Set 2,Slave to the Traffic Light
Set 2,Silent in the Morning
Set 2,Sanity
Set 2,Sweet Adeline
Encore,Sabotage
