Set,Song
Set 1,Kill Devil Falls
Set 1,Wilson
Set 1,Funky Bitch
Set 1,The Moma Dance
Set 1,Peaches en Regalia
Set 1,Sample in a Jar
Set 1,Possum
Set 1,Tweezer
Set 1,Mound
Set 1,Suzy Greenberg
Set 1,Axilla
Set 1,Mike's Song
Set 1,I Am Hydrogen
Set 1,Weekapaug Groove
Set 2,Rock and Roll
Set 2,Steam
Set 2,Piper
Set 2,Roses Are Free
Set 2,Julius
Set 2,Life on Mars?
Set 2,Birds of a Feather
Set 2,Fluffhead
Set 2,Backwards Down the Number Line
Set 2,Also Sprach Zarathustra
Set 2,Chalk Dust Torture
Encore,Cavern
Encore,Tweezer Reprise
