Set,Song
Set 1,Buried Alive
Set 1,Poor Heart
Set 1,Cavern
Set 1,Maze
Set 1,Colonel Forbin's Ascent
Set 1,Fly Famous Mockingbird
Set 1,Rift
Set 1,Stash
Set 1,Bouncing Around the Room
Set 1,I Didn't Know
Set 1,David Bowie
Set 2,Suzy Greenberg
Set 2,It's Ice
Set 2,Sparkle
Set 2,Wilson
Set 2,You Enjoy Myself
Set 2,Uncle Pen
Set 2,Big Ball Jam
Set 2,Fast Enough for You
Set 2,Hold Your Head Up
Set 2,If I Only Had a Brain
Set 2,Hold Your Head Up
Set 2,Golgi Apparatus
Set 2,Big Black Furry Creature from Mars
Encore,Amazing Grace
Encore,Good Times Bad Times
