"Set","Song"
"Set 1","Golgi Apparatus"
"Set 1","My Friend, My Friend"
"Set 1","Rift"
"Set 1","Bouncing Around the Room"
"Set 1","Split Open and Melt"
"Set 1","Reba"
"Set 1","Lawn Boy"
"Set 1","Chalk Dust Torture"
"Set 1","The Wedge"
"Set 1","Paul and Silas"
"Set 1","Run Like an Antelope"
"Set 2","Axilla"
"Set 2","My Sweet One"
"Set 2","Stash"
"Set 2","The Lizards"
"Set 2","Punch You in the Eye"
"Set 2","All Things Reconsidered"
"Set 2","Mike's Song"
"Set 2","I Am Hydrogen"
"Set 2","Weekapaug Groove"
"Set 2","Nellie Kane"
"Set 2","Weekapaug Groove"
"Set 2","Hold Your Head Up"
"Set 2","Terrapin"
"Set 2","Hold Your Head Up"
"Set 2","Possum"
"Encore","Sweet Adeline"
"Encore","Poor Heart"
