"Set","Song"
"Set 1","Axilla"
"Set 1","Sparkle"
"Set 1","Divided Sky"
"Set 1","Mound"
"Set 1","Stash"
"Set 1","The Horse"
"Set 1","Silent in the Morning"
"Set 1","Poor Heart"
"Set 1","Maze"
"Set 1","I Didn't Know"
"Set 1","Golgi Apparatus"
"Set 2","Llama"
"Set 2","Punch You in the Eye"
"Set 2","You Enjoy Myself"
"Set 2","The Lizards"
"Set 2","Big Ball Jam"
"Set 2","Uncle Pen"
"Set 2","Bouncing Around the Room"
"Set 2","Run Like an Antelope"
"Set 2","Hold Your Head Up"
"Set 2","Cracklin' Rosie"
"Set 2","Hold Your Head Up"
"Set 2","Big Black Furry Creature from Mars"
"Encore","Sleeping Monkey"
"Encore","Amazing Grace"
