Set,Song
Set 1,Buried Alive
Set 1,Poor Heart
Set 1,Cavern
Set 1,Foam
Set 1,The Sloth
Set 1,Rift
Set 1,Stash
Set 1,Sparkle
Set 1,It's Ice
Set 1,I Didn't Know
Set 1,Possum
Set 2,The Landlady
Set 2,Chalk Dust Torture
Set 2,Guelah Papyrus
Set 2,Uncle Pen
Set 2,Mike's Song
Set 2,I Am Hydrogen
Set 2,Weekapaug Groove
Set 2,Jesus Just Left Chicago
Set 2,My Sweet One
Set 2,Big Ball Jam
Set 2,Hold Your Head Up
Set 2,Love You
Set 2,Hold Your Head Up
Set 2,The Squirming Coil
Set 2,Amazing Grace
Encore,Good Times Bad Times
