Set,Song
Set 1,Golgi Apparatus
Set 1,Foam
Set 1,Wilson
Set 1,My Friend, My Friend
Set 1,Maze
Set 1,Horn
Set 1,Divided Sky
Set 1,Lawn Boy
Set 1,The Wedge
Set 1,Bouncing Around the Room
Set 1,Run Like an Antelope
Set 2,Chalk Dust Torture
Set 2,Mound
Set 2,Stash
Set 2,Sweet Adeline
Set 2,All Things Reconsidered
Set 2,Mike's Song
Set 2,I Am Hydrogen
Set 2,Weekapaug Groove
Set 2,Lifeboy
Set 2,Uncle Pen
Set 2,Big Ball Jam
Set 2,Hold Your Head Up
Set 2,Lengthwise
Set 2,Buried Alive
Set 2,Possum
Encore,Fire
