Set,Song
Set 1,Daniel Saw the Stone
Set 1,Golgi Apparatus
Set 1,My Friend, My Friend
Set 1,Ya Mar
Set 1,Buried Alive
Set 1,Fast Enough for You
Set 1,All Things Reconsidered
Set 1,Nellie Kane
Set 1,Horn
Set 1,Run Like an Antelope
Set 2,Also Sprach Zarathustra
Set 2,Split Open and Melt
Set 2,Glide
Set 2,Maze
Set 2,Bouncing Around the Room
Set 2,You Enjoy Myself
Set 2,Yerushalayim Shel Zahav
Set 2,You Enjoy Myself
Set 2,Poor Heart
Set 2,Purple Rain
Set 2,Hold Your Head Up
Set 2,Harry Hood
Set 2,Cavern
Encore,Llama
Encore,Free Bird
