"Set","Song"
"Set 1","Chalk Dust Torture"
"Set 1","Guelah Papyrus"
"Set 1","Rift"
"Set 1","Fee"
"Set 1","Maze"
"Set 1","Colonel Forbin's Ascent"
"Set 1","Fly Famous Mockingbird"
"Set 1","Sparkle"
"Set 1","Horn"
"Set 1","I Didn't Know"
"Set 1","David Bowie"
"Set 2","My Friend, My Friend"
"Set 2","Poor Heart"
"Set 2","Split Open and Melt"
"Set 2","Tela"
"Set 2","You Enjoy Myself"
"Set 2","Uncle Pen"
"Set 2","Big Ball Jam"
"Set 2","Hold Your Head Up"
"Set 2","If I Only Had a Brain"
"Set 2","Hold Your Head Up"
"Set 2","The Squirming Coil"
"Set 2","Cavern"
"Encore","Good Times Bad Times"
