Set,Song
Set 1,All Things Reconsidered
Set 1,Runaway Jim
Set 1,Ya Mar
Set 1,Sample in a Jar
Set 1,Foam
Set 1,Nellie Kane
Set 1,Split Open and Melt
Set 1,The Horse
Set 1,Silent in the Morning
Set 1,Poor Heart
Set 1,Cavern
Set 2,Also Sprach Zarathustra
Set 2,Axilla
Set 2,My Sweet One
Set 2,Run Like an Antelope
Set 2,The Lizards
Set 2,Mound
Set 2,My Friend, My Friend
Set 2,Harry Hood
Set 2,The Great Gig in the Sky
Set 2,Hold Your Head Up
Set 2,Chalk Dust Torture
Encore,Piano Duet
Encore,Bill Bailey, Won't You Please Come Home?
