Set,Song
Set 1,Axilla
Set 1,Foam
Set 1,Bouncing Around the Room
Set 1,Maze
Set 1,Fast Enough for You
Set 1,All Things Reconsidered
Set 1,Stash
Set 1,The Lizards
Set 1,Sample in a Jar
Set 1,Glide
Set 1,Run Like an Antelope
Set 2,Chalk Dust Torture
Set 2,The Wedge
Set 2,Mike's Song
Set 2,The Man Who Stepped Into Yesterday
Set 2,Avenu Malkenu
Set 2,The Man Who Stepped Into Yesterday
Set 2,Weekapaug Groove
Set 2,Lawn Boy
Set 2,Uncle Pen
Set 2,Big Ball Jam
Set 2,Hold Your Head Up
Set 2,Lengthwise
Set 2,Hold Your Head Up
Set 2,Harry Hood
Set 2,Cavern
Encore,Amazing Grace
Encore,Good Times Bad Times
