"Set","Song"
"Set 1","Suzy Greenberg"
"Set 1","Sparkle"
"Set 1","It's Ice"
"Set 1","Reba"
"Set 1","Chalk Dust Torture"
"Set 1","Esther"
"Set 1","Stash"
"Set 1","Fee"
"Set 1","Rift"
"Set 1","Golgi Apparatus"
"Set 2","Llama"
"Set 2","Bouncing Around the Room"
"Set 2","All Things Reconsidered"
"Set 2","Tweezer"
"Set 2","The Lizards"
"Set 2","Big Ball Jam"
"Set 2","You Enjoy Myself"
"Set 2","The Vibration of Life"
"Set 2","You Enjoy Myself"
"Set 2","Uncle Pen"
"Set 2","Hold Your Head Up"
"Set 2","Love You"
"Set 2","Hold Your Head Up"
"Set 2","Tweezer Reprise"
"Encore","AC/DC Bag"
"Encore","Amazing Grace"
