Set,Song
Set 1,Maze
Set 1,Sparkle
Set 1,The Sloth
Set 1,Divided Sky
Set 1,Esther
Set 1,All Things Reconsidered
Set 1,Split Open and Melt
Set 1,Poor Heart
Set 1,Punch You in the Eye
Set 1,Lawn Boy
Set 1,Possum
Set 2,Loving Cup
Set 2,My Friend, My Friend
Set 2,Rift
Set 2,Tweezer
Set 2,Ya Mar
Set 2,Llama
Set 2,You Enjoy Myself
Set 2,My Sweet One
Set 2,Big Ball Jam
Set 2,Hold Your Head Up
Set 2,Cracklin' Rosie
Set 2,Hold Your Head Up
Set 2,Harry Hood
Set 2,Cavern
Encore,Sleeping Monkey
Encore,Sweet Adeline
Encore,Tweezer Reprise
