Set,Song
Set 1,David Bowie
Set 1,Weigh
Set 1,The Curtain
Set 1,Sample in a Jar
Set 1,Paul and Silas
Set 1,Colonel Forbin's Ascent
Set 1,Fly Famous Mockingbird
Set 1,Rift
Set 1,Bathtub Gin
Set 1,Free Bird
Set 2,Also Sprach Zarathustra
Set 2,Mike's Song
Set 2,The Horse
Set 2,Silent in the Morning
Set 2,Punch You in the Eye
Set 2,McGrupp and the Watchful Hosemasters
Set 2,Weekapaug Groove
Set 2,Purple Rain
Set 2,Hold Your Head Up
Set 2,Slave to the Traffic Light
Encore,Rocky Top
Encore,Good Times Bad Times
