Set,Song
Set 1,Buried Alive
Set 1,Poor Heart
Set 1,All Things Reconsidered
Set 1,Golgi Apparatus
Set 1,My Friend, My Friend
Set 1,Llama
Set 1,Esther
Set 1,Stash
Set 1,Glide
Set 1,Divided Sky
Set 1,Cavern
Set 2,Loving Cup
Set 2,Rift
Set 2,Tweezer
Set 2,Lifeboy
Set 2,Big Ball Jam
Set 2,Weigh
Set 2,Mike's Song
Set 2,I Am Hydrogen
Set 2,Weekapaug Groove
Set 2,Psycho Killer
Set 2,Weekapaug Groove
Set 2,The Horse
Set 2,Silent in the Morning
Set 2,Hold Your Head Up
Set 2,If I Only Had a Brain
Set 2,Hold Your Head Up
Set 2,Tweezer Reprise
Encore,My Sweet One
Encore,Amazing Grace
