"Set","Song"
"Set 1","Sweet Adeline"
"Set 1","Buried Alive"
"Set 1","Poor Heart"
"Set 1","It's Ice"
"Set 1","Fee"
"Set 1","Maze"
"Set 1","I Didn't Know"
"Set 1","Divided Sky"
"Set 1","Hold Your Head Up"
"Set 1","You Gotta See Mama Every Night"
"Set 1","McGrupp and the Watchful Hosemasters"
"Set 1","Cavern"
"Set 2","My Friend, My Friend"
"Set 2","The Curtain"
"Set 2","Tweezer"
"Set 2","Sweet Emotion Jam"
"Set 2","Tweezer"
"Set 2","Bathtub Gin"
"Set 2","Esther"
"Set 2","Secret Language Instructions"
"Set 2","Esther"
"Set 2","Chalk Dust Torture"
"Set 2","You Enjoy Myself"
"Set 2","Hold Your Head Up"
"Set 2","Bike"
"Set 2","Lengthwise"
"Set 2","Bike"
"Set 2","Hold Your Head Up"
"Set 2","Lawn Boy"
"Set 2","Llama"
"Set 2","Amazing Grace"
"Encore","Sparkle"
"Encore","Tweezer Reprise"
