"Set","Song"
"Set 1","Runaway Jim"
"Set 1","Foam"
"Set 1","Guelah Papyrus"
"Set 1","Split Open and Melt"
"Set 1","Fee"
"Set 1","Rift"
"Set 1","Sample in a Jar"
"Set 1","It's Ice"
"Set 1","Glide"
"Set 1","David Bowie"
"Set 2","Chalk Dust Torture"
"Set 2","Fluffhead"
"Set 2","My Friend, My Friend"
"Set 2","The Squirming Coil"
"Set 2","Big Ball Jam"
"Set 2","Halley's Comet"
"Set 2","Paul and Silas"
"Set 2","Mike's Song"
"Set 2","The Great Gig in the Sky"
"Set 2","Weekapaug Groove"
"Set 2","Cavern"
"Encore","Carolina"
"Encore","Rocky Top"
