"Set","Song"
"Set 1","Loving Cup"
"Set 1","Rift"
"Set 1","Split Open and Melt"
"Set 1","Fee"
"Set 1","Maze"
"Set 1","Colonel Forbin's Ascent"
"Set 1","Fly Famous Mockingbird"
"Set 1","Sparkle"
"Set 1","My Friend, My Friend"
"Set 1","Poor Heart"
"Set 1","David Bowie"
"Set 1","Moby Dick"
"Set 1","David Bowie"
"Set 2","Runaway Jim"
"Set 2","It's Ice"
"Set 2","Paul and Silas"
"Set 2","You Enjoy Myself"
"Set 2","Ya Mar"
"Set 2","Big Ball Jam"
"Set 2","Lawn Boy"
"Set 2","Funky Bitch"
"Set 2","My Sweet One"
"Set 2","Hold Your Head Up"
"Set 2","Love You"
"Set 2","Hold Your Head Up"
"Set 2","Llama"
"Set 2","Amazing Grace"
"Encore","AC/DC Bag"
