"Set","Song"
"Set 1","Wilson"
"Set 1","Llama"
"Set 1","Guelah Papyrus"
"Set 1","Divided Sky"
"Set 1","Weigh"
"Set 1","Maze"
"Set 1","Fluffhead"
"Set 1","Fast Enough for You"
"Set 1","Daniel Saw the Stone"
"Set 2","Also Sprach Zarathustra"
"Set 2","David Bowie"
"Set 2","The Horse"
"Set 2","Silent in the Morning"
"Set 2","Rift"
"Set 2","Suzy Greenberg"
"Set 2","You Enjoy Myself"
"Set 2","Purple Rain"
"Set 2","Hold Your Head Up"
"Set 2","My Sweet One"
"Set 2","Cavern"
"Encore","Memories"
"Encore","Fire"
