"Set","Song"
"Set 1","The Landlady"
"Set 1","Funky Bitch"
"Set 1","Bouncing Around the Room"
"Set 1","Maze"
"Set 1","Fee"
"Set 1","All Things Reconsidered"
"Set 1","Split Open and Melt"
"Set 1","Contact"
"Set 1","Llama"
"Set 1","Wilson"
"Set 1","Run Like an Antelope"
"Set 2","Suzy Greenberg"
"Set 2","Tweezer"
"Set 2","The Lizards"
"Set 2","It's Ice"
"Set 2","Glide"
"Set 2","Uncle Pen"
"Set 2","Big Ball Jam"
"Set 2","Mike's Song"
"Set 2","I Am Hydrogen"
"Set 2","Weekapaug Groove"
"Set 2","Fast Enough for You"
"Set 2","Hold Your Head Up"
"Set 2","Love You"
"Set 2","Hold Your Head Up"
"Set 2","Tweezer Reprise"
"Encore","My Sweet One"
"Encore","Amazing Grace"
"Encore","Big Black Furry Creature from Mars"
