Set,Song
Set 1,Golgi Apparatus
Set 1,Tube
Set 1,Bouncing Around the Room
Set 1,Poor Heart
Set 1,Stash
Set 1,The Horse
Set 1,Silent in the Morning
Set 1,Reba
Set 1,Llama
Set 1,Satin Doll
Set 1,Run Like an Antelope
Set 2,Dinner and a Movie
Set 2,Tweezer
Set 2,Fee
Set 2,Paul and Silas
Set 2,It's Ice
Set 2,Big Ball Jam
Set 2,You Enjoy Myself
Set 2,Honky Tonk Women Jam
Set 2,You Enjoy Myself
Set 2,Hold Your Head Up
Set 2,Terrapin
Set 2,Hold Your Head Up
Set 2,Tweezer Reprise
Encore,Amazing Grace
Encore,Highway to Hell
Encore 2,Rocky Top
