"Set","Song"
"Set 1","Lengthwise"
"Set 1","Maze"
"Set 1","Bouncing Around the Room"
"Set 1","Poor Heart"
"Set 1","Stash"
"Set 1","The Horse"
"Set 1","Silent in the Morning"
"Set 1","Divided Sky"
"Set 1","Cavern"
"Set 1","Lawn Boy"
"Set 1","All Things Reconsidered"
"Set 1","Possum"
"Set 2","Wilson"
"Set 2","Sparkle"
"Set 2","Tweezer"
"Set 2","Walk Away"
"Set 2","Mound"
"Set 2","Big Ball Jam"
"Set 2","Harry Hood"
"Set 2","Hold Your Head Up"
"Set 2","If I Only Had a Brain"
"Set 2","Hold Your Head Up"
"Set 2","You Enjoy Myself"
"Set 2","Golgi Apparatus"
"Encore","When Something is Wrong with My Baby"
"Encore","Amazing Grace"
"Encore","Tweezer Reprise"
