Set,Song
Set 1,Big Black Furry Creature from Mars
Set 1,Foam
Set 1,Loving Cup
Set 1,Runaway Jim
Set 1,The Horse
Set 1,Silent in the Morning
Set 1,Punch You in the Eye
Set 1,Fast Enough for You
Set 1,Paul and Silas
Set 1,I Didn't Know
Set 1,David Bowie
Set 2,Also Sprach Zarathustra
Set 2,Rift
Set 2,Harry Hood
Set 2,Wilson
Set 2,It's Ice
Set 2,Fluffhead
Set 2,Possum
Set 2,Big Ball Jam
Set 2,Hold Your Head Up
Set 2,Love You
Set 2,Hold Your Head Up
Set 2,Daniel Saw the Stone
Set 2,Good Times Bad Times
Encore,My Sweet One
Encore,Free Bird
