Set,Song
Set 1,Split Open and Melt
Set 1,Uncle Pen
Set 1,The Sloth
Set 1,Runaway Jim
Set 1,Horn
Set 1,Llama
Set 1,Glide
Set 1,Rift
Set 1,Fee
Set 1,Run Like an Antelope
Set 2,Chalk Dust Torture
Set 2,It's Ice
Set 2,Ya Mar
Set 2,Mound
Set 2,Big Ball Jam
Set 2,Reba
Set 2,Mike's Song
Set 2,I Am Hydrogen
Set 2,Weekapaug Groove
Set 2,Makisupa Policeman
Set 2,Weekapaug Groove
Set 2,Hold Your Head Up
Set 2,Terrapin
Set 2,Hold Your Head Up
Set 2,The Squirming Coil
Encore,My Friend, My Friend
Encore,Sweet Adeline
