Set,Song
Set 1,Chalk Dust Torture
Set 1,Sparkle
Set 1,Guelah Papyrus
Set 1,Stash
Set 1,The Horse
Set 1,Silent in the Morning
Set 1,Maze
Set 1,I Didn't Know
Set 1,It's Ice
Set 1,Divided Sky
Set 1,Cavern
Set 2,Buried Alive
Set 2,Suzy Greenberg
Set 2,All Things Reconsidered
Set 2,Llama
Set 2,Mound
Set 2,My Friend, My Friend
Set 2,You Enjoy Myself
Set 2,My Sweet One
Set 2,Big Ball Jam
Set 2,Hold Your Head Up
Set 2,Love You
Set 2,Hold Your Head Up
Set 2,Possum
Encore,Sweet Adeline
Encore,Golgi Apparatus
